teff,logg,mh,alpha,node
32500,3.5,-0.699,0,989
32500,3.5,-0.301,0,990
32500,3.5,0,0,992
32500,3.5,0.301,0,993
32500,3.75,-1,0,994
32500,3.75,-0.699,0,995
32500,3.75,-0.301,0,996
32500,3.75,0,0,998
32500,3.75,0.301,0,999
32500,4,-1,0,1000
32500,4,-0.699,0,1001
32500,4,-0.301,0,1002
32500,4,0,0,1004
32500,4,0.301,0,1005
32500,4.25,-1,0,1006
32500,4.25,-0.699,0,1007
32500,4.25,-0.301,0,1008
32500,4.25,0,0,1010
32500,4.25,0.301,0,1011
32500,4.5,-1,0,1012
32500,4.5,-0.699,0,1013
32500,4.5,-0.301,0,1014
32500,4.5,0,0,1016
32500,4.5,0.301,0,1017
32500,4.75,-1,0,1018
32500,4.75,-0.699,0,1019
32500,4.75,-0.301,0,1020
32500,4.75,0,0,1022
32500,4.75,0.301,0,1023
35000,3.25,-1,0,1024
35000,3.25,-0.699,0,1025
35000,3.25,-0.301,0,1026
35000,3.25,0,0,1028
35000,3.25,0.301,0,1029
35000,3.5,-1,0,1030
35000,3.5,-0.699,0,1031
35000,3.5,-0.301,0,1032
35000,3.5,0,0,1034
35000,3.5,0.301,0,1035
35000,3.75,-1,0,1036
35000,3.75,-0.699,0,1037
35000,3.75,-0.301,0,1038
35000,3.75,0,0,1040
35000,3.75,0.301,0,1041
35000,4,-1,0,1042
35000,4,-0.699,0,1043
35000,4,-0.301,0,1044
35000,4,0,0,1046
35000,4,0.301,0,1047
35000,4.25,-1,0,1048
35000,4.25,-0.699,0,1049
35000,4.25,-0.301,0,1050
35000,4.25,0,0,1052
35000,4.25,0.301,0,1053
35000,4.5,-1,0,1054
35000,4.5,-0.699,0,1055
35000,4.5,-0.301,0,1056
35000,4.5,0,0,1058
35000,4.5,0.301,0,1059
35000,4.75,-1,0,1060
35000,4.75,-0.699,0,1061
35000,4.75,-0.301,0,1062
35000,4.75,0,0,1064
35000,4.75,0.301,0,1065
37500,3.5,-1,0,1066
37500,3.5,-0.699,0,1067
37500,3.5,-0.301,0,1068
37500,3.5,0,0,1070
37500,3.5,0.301,0,1071
37500,3.75,-1,0,1072
37500,3.75,-0.699,0,1073
37500,3.75,-0.301,0,1074
37500,3.75,0,0,1076
37500,3.75,0.301,0,1077
37500,4,-1,0,1078
37500,4,-0.699,0,1079
37500,4,-0.301,0,1080
37500,4,0,0,1082
37500,4,0.301,0,1083
37500,4.25,-1,0,1084
37500,4.25,-0.699,0,1085
37500,4.25,-0.301,0,1086
37500,4.25,0,0,1088
37500,4.25,0.301,0,1089
